name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
species_451	451	S	91	2	93	0.00093
species_702	702	S	91	3	94	0.00094
species_144	144	S	89	1	90	0.00090
species_292	292	S	88	0	88	0.00088
species_1900	1900	S	88	0	88	0.00088
species_2337	2337	S	87	0	87	0.00087
species_692	692	S	87	0	87	0.00087
species_2269	2269	S	85	0	85	0.00085
species_962	962	S	85	0	85	0.00085
species_187	187	S	85	1	86	0.00086
species_1549	1549	S	84	0	84	0.00084
species_28	28	S	84	5	89	0.00089
species_1460	1460	S	84	1	85	0.00085
species_2160	2160	S	83	4	87	0.00087
species_361	361	S	82	0	82	0.00082
species_1748	1748	S	82	0	82	0.00082
species_1446	1446	S	82	1	83	0.00083
species_1267	1267	S	82	1	83	0.00083
species_1916	1916	S	82	0	82	0.00082
species_172	172	S	82	0	82	0.00082
species_14	14	S	82	0	82	0.00082
species_1822	1822	S	81	0	81	0.00081
species_672	672	S	81	1	82	0.00082
species_2411	2411	S	81	1	82	0.00082
species_247	247	S	81	0	81	0.00081
species_721	721	S	81	2	83	0.00083
species_1105	1105	S	80	0	80	0.00080
species_2074	2074	S	80	0	80	0.00080
species_2049	2049	S	80	0	80	0.00080
species_183	183	S	79	0	79	0.00079
species_160	160	S	79	0	79	0.00079
species_1355	1355	S	79	0	79	0.00079
species_1399	1399	S	79	0	79	0.00079
species_1414	1414	S	79	0	79	0.00079
species_301	301	S	79	0	79	0.00079
species_1571	1571	S	79	0	79	0.00079
species_2270	2270	S	79	0	79	0.00079
species_2083	2083	S	79	3	82	0.00082
species_682	682	S	79	0	79	0.00079
species_456	456	S	79	0	79	0.00079
species_2398	2398	S	79	5	84	0.00084
species_405	405	S	78	0	78	0.00078
species_521	521	S	78	3	81	0.00081
species_2282	2282	S	78	0	78	0.00078
species_158	158	S	78	2	80	0.00080
species_942	942	S	78	0	78	0.00078
species_2120	2120	S	78	2	80	0.00080
species_2006	2006	S	78	0	78	0.00078
species_2436	2436	S	78	0	78	0.00078
species_1261	1261	S	78	7	85	0.00085
species_1270	1270	S	78	2	80	0.00080
species_2	2	S	77	0	77	0.00077
species_613	613	S	77	0	77	0.00077
species_847	847	S	77	1	78	0.00078
species_1917	1917	S	77	1	78	0.00078
species_2222	2222	S	77	0	77	0.00077
species_1947	1947	S	77	1	78	0.00078
species_1144	1144	S	77	0	77	0.00077
species_1209	1209	S	77	1	78	0.00078
species_1707	1707	S	77	0	77	0.00077
species_2493	2493	S	77	0	77	0.00077
species_18	18	S	77	0	77	0.00077
species_1784	1784	S	77	0	77	0.00077
species_986	986	S	76	2	78	0.00078
species_1910	1910	S	76	0	76	0.00076
species_2492	2492	S	76	0	76	0.00076
species_1153	1153	S	76	3	79	0.00079
species_431	431	S	76	0	76	0.00076
species_467	467	S	76	0	76	0.00076
species_1234	1234	S	76	0	76	0.00076
species_1935	1935	S	76	0	76	0.00076
species_11	11	S	76	0	76	0.00076
species_1489	1489	S	76	0	76	0.00076
species_1898	1898	S	76	0	76	0.00076
species_835	835	S	76	1	77	0.00077
species_396	396	S	76	3	79	0.00079
species_1950	1950	S	76	3	79	0.00079
species_403	403	S	76	0	76	0.00076
species_302	302	S	76	0	76	0.00076
species_2141	2141	S	76	0	76	0.00076
species_1289	1289	S	76	4	80	0.00080
species_1334	1334	S	76	1	77	0.00077
species_1884	1884	S	76	0	76	0.00076
species_651	651	S	76	0	76	0.00076
species_2457	2457	S	76	0	76	0.00076
species_767	767	S	76	4	80	0.00080
species_2335	2335	S	76	3	79	0.00079
species_552	552	S	75	0	75	0.00075
species_170	170	S	75	0	75	0.00075
species_249	249	S	75	0	75	0.00075
species_2365	2365	S	75	0	75	0.00075
species_253	253	S	75	0	75	0.00075
species_2505	2505	S	75	0	75	0.00075
species_1639	1639	S	75	0	75	0.00075
species_1958	1958	S	75	0	75	0.00075
species_900	900	S	75	1	76	0.00076
species_2086	2086	S	75	0	75	0.00075
species_1112	1112	S	75	1	76	0.00076
species_346	346	S	75	0	75	0.00075
species_944	944	S	75	0	75	0.00075
species_2302	2302	S	75	1	76	0.00076
species_623	623	S	75	3	78	0.00078
species_1886	1886	S	75	0	75	0.00075
species_1590	1590	S	75	0	75	0.00075
species_25	25	S	75	0	75	0.00075
species_445	445	S	74	0	74	0.00074
species_936	936	S	74	0	74	0.00074
species_629	629	S	74	1	75	0.00075
species_1825	1825	S	74	0	74	0.00074
species_294	294	S	74	0	74	0.00074
species_831	831	S	74	0	74	0.00074
species_2139	2139	S	74	0	74	0.00074
species_1952	1952	S	74	9	83	0.00083
species_547	547	S	74	0	74	0.00074
species_1844	1844	S	74	2	76	0.00076
species_1977	1977	S	74	0	74	0.00074
species_2286	2286	S	74	0	74	0.00074
species_465	465	S	74	0	74	0.00074
species_507	507	S	74	0	74	0.00074
species_2298	2298	S	74	0	74	0.00074
species_337	337	S	74	0	74	0.00074
species_845	845	S	74	1	75	0.00075
species_159	159	S	74	4	78	0.00078
species_2205	2205	S	74	0	74	0.00074
species_1192	1192	S	73	5	78	0.00078
species_1171	1171	S	73	0	73	0.00073
species_430	430	S	73	0	73	0.00073
species_2441	2441	S	73	0	73	0.00073
species_1367	1367	S	73	0	73	0.00073
species_1168	1168	S	73	0	73	0.00073
species_1357	1357	S	73	2	75	0.00075
species_2051	2051	S	73	2	75	0.00075
species_2157	2157	S	73	0	73	0.00073
species_2005	2005	S	73	1	74	0.00074
species_805	805	S	73	4	77	0.00077
species_1135	1135	S	73	0	73	0.00073
species_2491	2491	S	73	3	76	0.00076
species_414	414	S	73	0	73	0.00073
species_1717	1717	S	73	0	73	0.00073
species_311	311	S	73	2	75	0.00075
species_946	946	S	73	0	73	0.00073
species_1263	1263	S	73	0	73	0.00073
species_1457	1457	S	73	0	73	0.00073
species_2465	2465	S	73	0	73	0.00073
species_1515	1515	S	73	0	73	0.00073
species_1531	1531	S	73	4	77	0.00077
species_1899	1899	S	73	0	73	0.00073
species_1444	1444	S	73	0	73	0.00073
species_1955	1955	S	73	0	73	0.00073
species_1421	1421	S	73	1	74	0.00074
species_115	115	S	73	1	74	0.00074
species_2475	2475	S	72	0	72	0.00072
species_1449	1449	S	72	1	73	0.00073
species_2073	2073	S	72	0	72	0.00072
species_1339	1339	S	72	0	72	0.00072
species_1176	1176	S	72	0	72	0.00072
species_1291	1291	S	72	0	72	0.00072
species_981	981	S	72	0	72	0.00072
species_1278	1278	S	72	0	72	0.00072
species_1331	1331	S	72	0	72	0.00072
species_617	617	S	72	1	73	0.00073
species_2058	2058	S	72	0	72	0.00072
species_871	871	S	72	0	72	0.00072
species_442	442	S	72	0	72	0.00072
species_1845	1845	S	72	3	75	0.00075
species_291	291	S	72	0	72	0.00072
species_1448	1448	S	72	1	73	0.00073
species_2260	2260	S	72	0	72	0.00072
species_774	774	S	72	4	76	0.00076
species_33	33	S	72	2	74	0.00074
species_1053	1053	S	72	5	77	0.00077
species_1018	1018	S	72	1	73	0.00073
species_693	693	S	72	0	72	0.00072
species_1060	1060	S	72	0	72	0.00072
species_1897	1897	S	72	2	74	0.00074
species_35	35	S	72	0	72	0.00072
species_1865	1865	S	72	1	73	0.00073
species_70	70	S	72	6	78	0.00078
species_1082	1082	S	72	0	72	0.00072
species_1247	1247	S	72	2	74	0.00074
species_2107	2107	S	72	0	72	0.00072
species_1106	1106	S	72	0	72	0.00072
species_17	17	S	72	5	77	0.00077
species_313	313	S	71	3	74	0.00074
species_178	178	S	71	3	74	0.00074
species_1927	1927	S	71	1	72	0.00072
species_584	584	S	71	0	71	0.00071
species_483	483	S	71	2	73	0.00073
species_1177	1177	S	71	2	73	0.00073
species_156	156	S	71	5	76	0.00076
species_371	371	S	71	0	71	0.00071
species_604	604	S	71	3	74	0.00074
species_931	931	S	71	0	71	0.00071
species_1741	1741	S	71	2	73	0.00073
species_1086	1086	S	71	0	71	0.00071
species_949	949	S	71	0	71	0.00071
species_980	980	S	71	0	71	0.00071
species_2340	2340	S	71	0	71	0.00071
species_789	789	S	71	0	71	0.00071
species_276	276	S	71	3	74	0.00074
species_802	802	S	71	0	71	0.00071
species_281	281	S	71	1	72	0.00072
species_286	286	S	71	0	71	0.00071
species_2439	2439	S	71	0	71	0.00071
species_1354	1354	S	71	3	74	0.00074
species_1987	1987	S	71	0	71	0.00071
species_1650	1650	S	71	0	71	0.00071
species_1694	1694	S	71	0	71	0.00071
species_549	549	S	71	2	73	0.00073
species_1279	1279	S	71	0	71	0.00071
species_518	518	S	71	1	72	0.00072
species_553	553	S	71	1	72	0.00072
species_270	270	S	70	7	77	0.00077
species_231	231	S	70	12	82	0.00082
species_161	161	S	70	0	70	0.00070
species_1727	1727	S	70	0	70	0.00070
species_2165	2165	S	70	0	70	0.00070
species_2388	2388	S	70	2	72	0.00072
species_2408	2408	S	70	2	72	0.00072
species_1344	1344	S	70	0	70	0.00070
species_2252	2252	S	70	0	70	0.00070
species_1348	1348	S	70	0	70	0.00070
species_694	694	S	70	0	70	0.00070
species_240	240	S	70	0	70	0.00070
species_939	939	S	70	0	70	0.00070
species_1351	1351	S	70	1	71	0.00071
species_27	27	S	70	1	71	0.00071
species_1758	1758	S	70	0	70	0.00070
species_251	251	S	70	2	72	0.00072
species_1763	1763	S	70	1	71	0.00071
species_1888	1888	S	70	0	70	0.00070
species_423	423	S	70	3	73	0.00073
species_418	418	S	70	0	70	0.00070
species_2147	2147	S	70	3	73	0.00073
species_2148	2148	S	70	0	70	0.00070
species_1846	1846	S	70	0	70	0.00070
species_812	812	S	70	0	70	0.00070
species_162	162	S	70	0	70	0.00070
species_2044	2044	S	70	1	71	0.00071
species_1241	1241	S	70	0	70	0.00070
species_1250	1250	S	70	0	70	0.00070
species_2464	2464	S	70	0	70	0.00070
species_2394	2394	S	70	0	70	0.00070
species_728	728	S	70	1	71	0.00071
species_2030	2030	S	70	0	70	0.00070
species_411	411	S	69	0	69	0.00069
species_1519	1519	S	69	0	69	0.00069
species_561	561	S	69	2	71	0.00071
species_544	544	S	69	0	69	0.00069
species_1821	1821	S	69	0	69	0.00069
species_2046	2046	S	69	5	74	0.00074
species_224	224	S	69	4	73	0.00073
species_117	117	S	69	0	69	0.00069
species_2256	2256	S	69	3	72	0.00072
species_326	326	S	69	0	69	0.00069
species_2266	2266	S	69	0	69	0.00069
species_1378	1378	S	69	1	70	0.00070
species_298	298	S	69	0	69	0.00069
species_677	677	S	69	0	69	0.00069
species_1635	1635	S	69	0	69	0.00069
species_82	82	S	69	0	69	0.00069
species_665	665	S	69	1	70	0.00070
species_2034	2034	S	69	0	69	0.00069
species_652	652	S	69	0	69	0.00069
species_2368	2368	S	69	3	72	0.00072
species_1544	1544	S	69	0	69	0.00069
species_2216	2216	S	69	0	69	0.00069
species_1623	1623	S	69	0	69	0.00069
species_705	705	S	69	2	71	0.00071
species_157	157	S	69	0	69	0.00069
species_2081	2081	S	69	0	69	0.00069
species_904	904	S	69	0	69	0.00069
species_1330	1330	S	69	0	69	0.00069
species_2060	2060	S	69	0	69	0.00069
species_154	154	S	69	0	69	0.00069
species_910	910	S	69	1	70	0.00070
species_393	393	S	69	1	70	0.00070
species_530	530	S	69	0	69	0.00069
species_1989	1989	S	69	0	69	0.00069
species_390	390	S	69	1	70	0.00070
species_389	389	S	69	0	69	0.00069
species_1349	1349	S	69	2	71	0.00071
species_2101	2101	S	69	0	69	0.00069
species_1535	1535	S	69	0	69	0.00069
species_339	339	S	69	2	71	0.00071
species_2223	2223	S	68	1	69	0.00069
species_653	653	S	68	0	68	0.00068
species_444	444	S	68	2	70	0.00070
species_2070	2070	S	68	1	69	0.00069
species_1752	1752	S	68	0	68	0.00068
species_586	586	S	68	0	68	0.00068
species_24	24	S	68	4	72	0.00072
species_879	879	S	68	1	69	0.00069
species_463	463	S	68	0	68	0.00068
species_2258	2258	S	68	0	68	0.00068
species_2379	2379	S	68	2	70	0.00070
species_9	9	S	68	0	68	0.00068
species_968	968	S	68	17	85	0.00085
species_26	26	S	68	0	68	0.00068
species_1323	1323	S	68	1	69	0.00069
species_1304	1304	S	68	1	69	0.00069
species_1290	1290	S	68	0	68	0.00068
species_1379	1379	S	68	15	83	0.00083
species_310	310	S	68	0	68	0.00068
species_2037	2037	S	68	0	68	0.00068
species_229	229	S	68	2	70	0.00070
species_1419	1419	S	68	0	68	0.00068
species_335	335	S	68	1	69	0.00069
species_1847	1847	S	68	2	70	0.00070
species_1498	1498	S	68	0	68	0.00068
species_1848	1848	S	68	0	68	0.00068
species_1634	1634	S	68	0	68	0.00068
species_1908	1908	S	68	0	68	0.00068
species_155	155	S	68	1	69	0.00069
species_134	134	S	68	2	70	0.00070
species_147	147	S	68	2	70	0.00070
species_1597	1597	S	68	0	68	0.00068
species_2133	2133	S	68	0	68	0.00068
species_990	990	S	68	6	74	0.00074
species_1603	1603	S	68	1	69	0.00069
species_1600	1600	S	68	0	68	0.00068
species_2474	2474	S	67	10	77	0.00077
species_1991	1991	S	67	4	71	0.00071
species_1843	1843	S	67	1	68	0.00068
species_233	233	S	67	0	67	0.00067
species_1392	1392	S	67	0	67	0.00067
species_1981	1981	S	67	0	67	0.00067
species_1609	1609	S	67	0	67	0.00067
species_254	254	S	67	4	71	0.00071
species_259	259	S	67	1	68	0.00068
species_2483	2483	S	67	0	67	0.00067
species_1418	1418	S	67	3	70	0.00070
species_223	223	S	67	2	69	0.00069
species_563	563	S	67	0	67	0.00067
species_1429	1429	S	67	1	68	0.00068
species_1804	1804	S	67	0	67	0.00067
species_566	566	S	67	0	67	0.00067
species_1807	1807	S	67	1	68	0.00068
species_1483	1483	S	67	0	67	0.00067
species_1618	1618	S	67	0	67	0.00067
species_1931	1931	S	67	0	67	0.00067
species_1889	1889	S	67	1	68	0.00068
species_1518	1518	S	67	6	73	0.00073
species_2290	2290	S	67	0	67	0.00067
species_10	10	S	67	0	67	0.00067
species_928	928	S	67	3	70	0.00070
species_341	341	S	67	2	69	0.00069
species_881	881	S	67	0	67	0.00067
species_2497	2497	S	67	1	68	0.00068
species_1164	1164	S	67	0	67	0.00067
species_357	357	S	67	1	68	0.00068
species_1823	1823	S	67	2	69	0.00069
species_1729	1729	S	67	10	77	0.00077
species_1128	1128	S	67	1	68	0.00068
species_536	536	S	67	1	68	0.00068
species_378	378	S	67	0	67	0.00067
species_22	22	S	67	1	68	0.00068
species_932	932	S	67	1	68	0.00068
species_1108	1108	S	67	2	69	0.00069
species_383	383	S	67	1	68	0.00068
species_388	388	S	67	0	67	0.00067
species_2145	2145	S	67	0	67	0.00067
species_991	991	S	67	1	68	0.00068
species_2025	2025	S	67	0	67	0.00067
species_1200	1200	S	67	0	67	0.00067
species_2047	2047	S	67	4	71	0.00071
species_859	859	S	67	0	67	0.00067
species_1305	1305	S	67	0	67	0.00067
species_2003	2003	S	67	1	68	0.00068
species_502	502	S	67	0	67	0.00067
species_504	504	S	67	0	67	0.00067
species_1712	1712	S	66	3	69	0.00069
species_844	844	S	66	0	66	0.00066
species_1887	1887	S	66	0	66	0.00066
species_1100	1100	S	66	3	69	0.00069
species_1580	1580	S	66	1	67	0.00067
species_1837	1837	S	66	0	66	0.00066
species_1584	1584	S	66	0	66	0.00066
species_2127	2127	S	66	16	82	0.00082
species_2002	2002	S	66	0	66	0.00066
species_1608	1608	S	66	0	66	0.00066
species_2176	2176	S	66	0	66	0.00066
species_903	903	S	66	0	66	0.00066
species_1875	1875	S	66	1	67	0.00067
species_1393	1393	S	66	1	67	0.00067
species_1621	1621	S	66	1	67	0.00067
species_1545	1545	S	66	0	66	0.00066
species_1231	1231	S	66	1	67	0.00067
species_2094	2094	S	66	5	71	0.00071
species_1627	1627	S	66	3	69	0.00069
species_722	722	S	66	0	66	0.00066
species_1133	1133	S	66	0	66	0.00066
species_1225	1225	S	66	0	66	0.00066
species_2288	2288	S	66	0	66	0.00066
species_856	856	S	66	0	66	0.00066
species_1422	1422	S	66	0	66	0.00066
species_1491	1491	S	66	2	68	0.00068
species_2276	2276	S	66	0	66	0.00066
species_1720	1720	S	66	1	67	0.00067
species_314	314	S	66	0	66	0.00066
species_2395	2395	S	66	0	66	0.00066
species_120	120	S	66	0	66	0.00066
species_121	121	S	66	0	66	0.00066
species_428	428	S	66	4	70	0.00070
species_419	419	S	66	0	66	0.00066
species_460	460	S	66	0	66	0.00066
species_2364	2364	S	66	0	66	0.00066
species_137	137	S	66	0	66	0.00066
species_471	471	S	66	0	66	0.00066
species_138	138	S	66	5	71	0.00071
species_309	309	S	66	2	68	0.00068
species_45	45	S	66	5	71	0.00071
species_509	509	S	66	0	66	0.00066
species_202	202	S	66	9	75	0.00075
species_5	5	S	66	7	73	0.00073
species_534	534	S	66	0	66	0.00066
species_367	367	S	66	0	66	0.00066
species_546	546	S	66	0	66	0.00066
species_168	168	S	66	0	66	0.00066
species_559	559	S	66	4	70	0.00070
species_2448	2448	S	66	0	66	0.00066
species_1711	1711	S	65	0	65	0.00065
species_450	450	S	65	1	66	0.00066
species_1975	1975	S	65	1	66	0.00066
species_1879	1879	S	65	1	66	0.00066
species_453	453	S	65	0	65	0.00065
species_2023	2023	S	65	0	65	0.00065
species_295	295	S	65	3	68	0.00068
species_466	466	S	65	0	65	0.00065
species_783	783	S	65	1	66	0.00066
species_475	475	S	65	0	65	0.00065
species_1652	1652	S	65	0	65	0.00065
species_59	59	S	65	2	67	0.00067
species_1664	1664	S	65	3	68	0.00068
species_2250	2250	S	65	1	66	0.00066
species_819	819	S	65	2	67	0.00067
species_165	165	S	65	3	68	0.00068
species_330	330	S	65	0	65	0.00065
species_347	347	S	65	0	65	0.00065
species_353	353	S	65	1	66	0.00066
species_328	328	S	65	0	65	0.00065
species_1507	1507	S	65	0	65	0.00065
species_182	182	S	65	2	67	0.00067
species_2043	2043	S	65	0	65	0.00065
species_1131	1131	S	65	1	66	0.00066
species_209	209	S	65	1	66	0.00066
species_380	380	S	65	1	66	0.00066
species_211	211	S	65	3	68	0.00068
species_2178	2178	S	65	0	65	0.00065
species_163	163	S	65	1	66	0.00066
species_398	398	S	65	0	65	0.00065
species_2032	2032	S	65	0	65	0.00065
species_412	412	S	65	0	65	0.00065
species_1577	1577	S	65	2	67	0.00067
species_1006	1006	S	65	0	65	0.00065
species_1004	1004	S	65	0	65	0.00065
species_2029	2029	S	65	0	65	0.00065
species_421	421	S	65	0	65	0.00065
species_2026	2026	S	65	2	67	0.00067
species_427	427	S	65	0	65	0.00065
species_1817	1817	S	65	0	65	0.00065
species_16	16	S	65	1	66	0.00066
species_756	756	S	65	4	69	0.00069
species_234	234	S	65	0	65	0.00065
species_2271	2271	S	65	0	65	0.00065
species_264	264	S	65	3	68	0.00068
species_643	643	S	65	2	67	0.00067
species_2454	2454	S	65	0	65	0.00065
species_2363	2363	S	65	3	68	0.00068
species_1384	1384	S	65	2	67	0.00067
species_1041	1041	S	64	0	64	0.00064
species_1815	1815	S	64	2	66	0.00066
species_1562	1562	S	64	3	67	0.00067
species_1264	1264	S	64	0	64	0.00064
species_681	681	S	64	2	66	0.00066
species_477	477	S	64	0	64	0.00064
species_1566	1566	S	64	2	66	0.00066
species_2229	2229	S	64	1	65	0.00065
species_1654	1654	S	64	3	67	0.00067
species_152	152	S	64	3	67	0.00067
species_858	858	S	64	2	66	0.00066
species_488	488	S	64	1	65	0.00065
species_216	216	S	64	0	64	0.00064
species_1087	1087	S	64	6	70	0.00070
species_667	667	S	64	0	64	0.00064
species_1385	1385	S	64	2	66	0.00066
species_218	218	S	64	0	64	0.00064
species_2213	2213	S	64	1	65	0.00065
species_76	76	S	64	0	64	0.00064
species_1021	1021	S	64	0	64	0.00064
species_902	902	S	64	3	67	0.00067
species_77	77	S	64	6	70	0.00070
species_1014	1014	S	64	1	65	0.00065
species_906	906	S	64	0	64	0.00064
species_1011	1011	S	64	1	65	0.00065
species_8	8	S	64	0	64	0.00064
species_2021	2021	S	64	2	66	0.00066
species_1360	1360	S	64	0	64	0.00064
species_2476	2476	S	64	0	64	0.00064
species_426	426	S	64	2	66	0.00066
species_979	979	S	64	0	64	0.00064
species_974	974	S	64	5	69	0.00069
species_1374	1374	S	64	1	65	0.00065
species_808	808	S	64	2	66	0.00066
species_522	522	S	64	1	65	0.00065
species_2409	2409	S	64	0	64	0.00064
species_1466	1466	S	64	0	64	0.00064
species_280	280	S	64	1	65	0.00065
species_1215	1215	S	64	2	66	0.00066
species_2467	2467	S	64	0	64	0.00064
species_1124	1124	S	64	2	66	0.00066
species_1686	1686	S	64	0	64	0.00064
species_2264	2264	S	64	0	64	0.00064
species_1408	1408	S	64	0	64	0.00064
species_173	173	S	64	0	64	0.00064
